system,component,component_type,stride,stride_name,risk_score,risk_level
Arquitetura 2 - Azure API Management e Logic Apps,SaaS Services,saas,I,Information Disclosure,3,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,SaaS Services,saas,D,Denial of Service,3,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,SaaS Services,saas,S,Spoofing,2,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,SaaS Services,saas,R,Repudiation,2,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,REST Web Services,rest_service,E,Elevation of Privilege,4,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,REST Web Services,rest_service,T,Tampering,3,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,REST Web Services,rest_service,I,Information Disclosure,3,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,REST Web Services,rest_service,D,Denial of Service,3,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,REST Web Services,rest_service,S,Spoofing,2,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,REST Web Services,rest_service,R,Repudiation,2,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,SOAP Web Services,soap_service,E,Elevation of Privilege,4,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,SOAP Web Services,soap_service,T,Tampering,3,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,SOAP Web Services,soap_service,I,Information Disclosure,3,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,SOAP Web Services,soap_service,D,Denial of Service,3,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,SOAP Web Services,soap_service,S,Spoofing,2,BAIXO
Arquitetura 2 - Azure API Management e Logic Apps,SOAP Web Services,soap_service,R,Repudiation,2,BAIXO
